,Time_Zone ,Date,Tweets_tag
10, Central Africa Standard Time	,2021-04-16,"		@UNFPA @woman_kind @awdf01	und	""[{'screen_name': 'woman_kind', 'name': 'womankind worldwide', 'id': '38401173'}, {'screen_name': 'awdf01', 'name': """"african women's development fund"""", 'id': '24703416'}]""	[]	[]	0	0	0	[]	[]	https://twitter.com/fidakenya/status/1382971603479314433	False	https://twitter.com/fidakenya/status/1382699651921551367	0								[]"
11, Central Africa Standard Time	,2021-04-15,		In our submission we had also requested the inclusion of legal service as essential services.	en	[]	[]	[]	0	11	16	[]	[]	https://twitter.com/fidakenya/status/1382700856651448326	False	0	0								[]
12, Central Africa Standard Time	,2021-04-15,		In our close partnership with safe spaces and safe shelters we appreciate the essential role that they play in the protection of survivors of SGBV.  https://t.co/WiM4ExeAJq	en	[]	[]	['https://pbs.twimg.com/media/EzBWqQWXIAEsg87.png']	1	13	24	[]	[]	https://twitter.com/fidakenya/status/1382700379352276995	False	0	1	https://pbs.twimg.com/media/EzBWqQWXIAEsg87.png							[]
13, Central Africa Standard Time	,2021-04-15,"		Following FIDA-K comments submitted on 31st March 2021 to the Hon. Attorney General on the draft Public Health (COVID-19 restrictions of movement of persons) Rules, 2021.Operators of safe shelters &amp; safe spaces for SGBV survivors have been included as essential service providers.  https://t.co/qYJlwWInGa	en	[]	[]	['https://pbs.twimg.com/media/EzBWACZWgAwhG2k.jpg', 'https://pbs.twimg.com/media/EzBWARiXIAQWCsP.jpg']	4	39	50	[]	[]	https://twitter.com/fidakenya/status/1382699651921551367	False	0	1	https://pbs.twimg.com/media/EzBWACZWgAwhG2k.jpg							[]"
14, Central Africa Standard Time	,2021-04-15,		SGBV Interventions During COVID-19 (Lessons and Best Practice): GBV and Women with Disability  https://t.co/quLrX9QAj5	en	[]	['https://www.pscp.tv/w/c0bDhDF4a1FEQmFhb1Zaanp8MUJSS2pCZXZiTGpLdxSZ0MFlddpUjdbbF5zfawxKMN2cimybJIcC998kkmHT']	[]	0	8	15	[]	[]	https://twitter.com/fidakenya/status/1382650795678523392	False	0	0								[]
15, Central Africa Standard Time	,2021-04-14,		 https://t.co/OzwiC1iHc6	und	[]	[]	['https://pbs.twimg.com/media/Ey9gQr6WEAo8phr.jpg']	0	6	12	[]	[]	https://twitter.com/fidakenya/status/1382429460063006722	False	0	1	https://pbs.twimg.com/media/Ey9gQr6WEAo8phr.jpg							[]
16, Central Africa Standard Time	,2021-04-14,"		Women living with disability are also affected by SGBV. They suffer twice. Join us as we discuss what measures are in place to ensure that their needs are met. Further, what best practices can be adopted to ensure that they receive adequate services.  https://t.co/DcE1iBaLd6  https://t.co/gua3o11KwD	en	[]	['https://bit.ly/FIDAWebinar']	['https://pbs.twimg.com/media/Ey8BKdNWgAcQ7jj.jpg']	0	7	12	[]	[]	https://twitter.com/fidakenya/status/1382324896861192193	False	0	1	https://pbs.twimg.com/media/Ey8BKdNWgAcQ7jj.jpg							[]"
17, Central Africa Standard Time	,2021-04-13,		SGBV Interventions During COVID-19 (Lessons and Best Practice): Mental Wellness for SGBV Survivors and Dealing with the Stigma  https://t.co/sH5Ieew7Ap	en	[]	['https://www.pscp.tv/w/c0QgQDF4a1FEQmFhb1Zaanp8MU1uR25sWmdEbHl4T3tQZz0CMLBtzYvidyqxuKlgeQ5vXhf0PuRQUVFY4h9r']	[]	1	9	16	[]	[]	https://twitter.com/fidakenya/status/1381925733694496768	False	0	0								[]
18, Central Africa Standard Time	,2021-04-09,		Survivors of SGBV go through a lot of trauma and are sometimes stigmatized. As family or friends we may not know how to handle survivors and their emotions.Join us as we learn from the experts on the mental wellness of SGBV survivors.  https://t.co/DcE1iBaLd6  https://t.co/5Jf0hCLJ1v	en	[]	['https://bit.ly/FIDAWebinar']	['https://pbs.twimg.com/media/Eyg-dpYXIAE6dnC.jpg']	1	7	8	[]	[]	https://twitter.com/fidakenya/status/1380421976167174144	False	0	1	https://pbs.twimg.com/media/Eyg-dpYXIAE6dnC.jpg							[]
19, Central Africa Standard Time	,2021-04-08,		
20, Central Africa Standard Time	,2021-04-08,		Are SGBV interventions and processes are standardized? Join us today as we learn from experts from Nairobi and Mombasa as they share their experience in navigating SGBV matters during the COVID period. They will share lessons learnt and best practices.  https://t.co/DcE1iBaLd6  https://t.co/eBoLX7L9ms	en	[]	['https://bit.ly/FIDAWebinar']	['https://pbs.twimg.com/media/Eybj1drXIAEAfYo.jpg']	0	5	10	[]	[]	https://twitter.com/fidakenya/status/1380040854245670914	False	0	1	https://pbs.twimg.com/media/Eybj1drXIAEAfYo.jpg							[]
21, Central Africa Standard Time	,2021-04-08,		Are SGBV interventions and processes are standardized? Join us today as we learn from experts from Nairobi and Mombasa as they share their experience in navigating SGBV matters during the COVID period. They will share lessons learnt and best practices.  https://t.co/DcE1iBaLd6	en	[]	['https://bit.ly/FIDAWebinar']	[]	1	11	16	[]	[]	https://twitter.com/fidakenya/status/1380040494185603074	False	0	0								[]
22, Central Africa Standard Time	,2021-04-07,		FIDA- Kenya mourns the passing of Hellen Gesare Bonuke.  https://t.co/T8nQ0qR1lq	en	[]	[]	['https://pbs.twimg.com/media/EyYilyjXMAI4ZTk.jpg']	1	7	33	[]	[]	https://twitter.com/fidakenya/status/1379832220857286657	False	0	1	https://pbs.twimg.com/media/EyYilyjXMAI4ZTk.jpg							[]
23, Central Africa Standard Time	,2021-04-06,		
24, Central Africa Standard Time	,2021-04-01,		Blessed and safe Easter holiday.  https://t.co/tNl3fjp2Os	en	[]	[]	['https://pbs.twimg.com/media/Ex6bdg7WEAY9pLC.jpg']	1	7	17	[]	[]	https://twitter.com/fidakenya/status/1377709485268082689	False	0	1	https://pbs.twimg.com/media/Ex6bdg7WEAY9pLC.jpg							[]
25, Central Africa Standard Time	,2021-03-31,		
26, Central Africa Standard Time	,2021-03-31,		Webinar: The Role Of Civil Society Organizations And Criminal Justice Actors In Promotion Of Human Rights In Prisons  https://t.co/iBKYRncUol	en	[]	['https://www.pscp.tv/w/czL8NjF4a1FEQmFhb1Zaanp8MUJSSmpCcm55cndKdzyayhFhu2kywk0ERBNzJ_grwUD9_fjbeqixvsGs6ZYc']	[]	1	10	21	[]	[]	https://twitter.com/fidakenya/status/1377214114267729920	False	0	0								[]
27, Central Africa Standard Time	,2021-03-30,		
28, Central Africa Standard Time	,2021-03-29,		
29, Central Africa Standard Time	,2021-03-26,"		Just in time before new restriction and containment measures- a moment to celebrate all the hardwork by the Board, Secretariat,Community Champions, Partners and our brave "
