,Time_Zone ,Date,Tweets_tag
11, Central Africa Standard Time	,2021-05-05,"		Congratulations to #Kenya! ðŸŽ‰  A step towards achieving #SDG5.3 with the launch of county-specific costed action plans &amp; minimum package to #EndFGM in Kisii and Migori counties - showing the importance of targeting FGM-affected areas to protect girls.   âž¡ï¸� https://t.co/FXCHEyScXe  https://t.co/AeDVHnpnWH	en	[]	['https://www.adrakenya.org/resources']	['https://pbs.twimg.com/media/E0oq1IzUcAEQC4v.jpg', 'https://pbs.twimg.com/media/E0ossRZUUAELADh.jpg', 'https://pbs.twimg.com/media/E0ossVTVEAEnJen.jpg', 'https://pbs.twimg.com/media/E0otoojVoAUq31e.jpg']	1	13	28	['kenya', 'sdg5', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389973657993187329	False	0	1	https://pbs.twimg.com/media/E0oq1IzUcAEQC4v.jpg							[]"
12, Central Africa Standard Time	,2021-05-05,"		Meet Imam Betoro Mikoro (83), who performed FGM on girls for more than 40 years in #Ethiopia.   Imam Betoro, through regular community conversations and the involvement of religious leaders in discussions, stopped performing FGM. #EndFGM   Read more here:  https://t.co/J8OAMMji2G  https://t.co/tq7OwtyV12	en	[]	['https://uni.cf/3dx9TAc']	['https://pbs.twimg.com/media/E0neQ6eUcAEe1CM.jpg']	0	4	9	['ethiopia', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389886346030813184	False	0	1	https://pbs.twimg.com/media/E0neQ6eUcAEe1CM.jpg							[]"
13, Central Africa Standard Time	,2021-05-05,"		Ending FGM requires focus on preventative interventions such as mobilizing religious leaders as agents of change.  In 2020, through @GPtoEndFGM, religious leaders in 5,943 communities made public statements delinking FGM from religious requirements.  This is ACT to #EndFGM!  https://t.co/4f2jKFnNvq	en	[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}]	[]	['https://pbs.twimg.com/media/E0mnVXIUcAESufC.jpg']	0	4	6	['endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389825949944848388	False	0	1	https://pbs.twimg.com/media/E0mnVXIUcAESufC.jpg							[]"
14, Central Africa Standard Time	,2021-05-04,"		Would you place your own daughter at harm in the name of tradition?  If you said no, then female genital mutilation should NOT be an option:  https://t.co/IkHu3POEXr  Let's stop this harmful practice, save our girls and #EndFGM!  https://t.co/VmqrufypAM	en	[]	['http://unf.pa/7f3']	['https://pbs.twimg.com/media/E0jLmwTUUAANJJs.jpg']	2	11	11	['endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389584358520934403	False	0	1	https://pbs.twimg.com/media/E0jLmwTUUAANJJs.jpg							[]"
15, Central Africa Standard Time	,2021-05-04,"		Boys and men are allies in the fight to #EndFGM!  Meet Mustafa, heâ€™s part of the growing generation of youth in #Somalia who are taking the lead to eliminate the harmful practice by participating in youth dialogues, educating one another, and seeing girls as equal.  https://t.co/rqGtgpLp1p	en	[]	[]	['https://pbs.twimg.com/media/E0iUrDkVoAMiuzT.jpg']	0	3	9	['endfgm', 'somalia']	[]	https://twitter.com/GPtoEndFGM/status/1389523957640949760	False	0	1	https://pbs.twimg.com/media/E0iUrDkVoAMiuzT.jpg							[]"
16, Central Africa Standard Time	,2021-05-04,"		In 2020, through @GPtoEndFGM, 801 men and boys networks and coalitions actively advocated for #FGM elimination.  This is a 66% increase compared to 2019, showing that when efforts are scaled up and accelerated, we can #EndFGM!  https://t.co/yq42X9CuiW	en	[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}]	[]	['https://pbs.twimg.com/media/E0hdveHVcAEQw9C.jpg']	3	18	37	['fgm', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389463560535740425	False	0	1	https://pbs.twimg.com/media/E0hdveHVcAEQw9C.jpg							[]"
17, Central Africa Standard Time	,2021-05-03,"		ðŸ’¡Research Digest - Issue 16 is here!  Check out the latest research on #EndFGM and #EndChildMarriage globally - covering topics of social and gender norms, law, policy and ethics, health, education, humanitarian crisis and more.  âž¡ï¸� https://t.co/VCjsv26hrJ  https://t.co/8XTYIwXwTR	en	[]	['https://us20.campaign-archive.com/?u=ce2dd912905f9f8e5f4c1a3da&id=76e191bacb']	['https://pbs.twimg.com/media/E0e0SL9VkAEBcpm.jpg']	0	3	7	['endfgm', 'endchildmarriage']	[]	https://twitter.com/GPtoEndFGM/status/1389277336059584515	False	0	1	https://pbs.twimg.com/media/E0e0SL9VkAEBcpm.jpg							[]"
18, Central Africa Standard Time	,2021-05-03,"		A step in the right direction towards achieving #GenderEquality, the Human Rights Council recommends #Niger to #EndFGM, pushing to secure the rights and well-being of girls and women!   @Atayeshe @unicefchief	en	[{'screen_name': 'atayeshe', 'name': 'dr. natalia kanem /she/her/ella/', 'id': '770650559699386369'}, {'screen_name': 'unicefchief', 'name': 'henrietta h. fore', 'id': '950824252562903040'}]	[]	[]	0	1	7	['genderequality', 'niger', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389249517568937985	False	https://twitter.com/UN_HRC/status/1389222680780476417	0								[]"
19, Central Africa Standard Time	,2021-05-03,"		""""""My dream is to one day work as a health worker or in a humanitarian NGO, in order to give a smile to other children who need it so much"""", says Sadio KeÃ¯ta (14).   Sadio escaped harmful practices with thanks to partners such as AMSOPT in #Mali.   #EndFGM @Unfpamali @unicefmali  https://t.co/Ubi0T5FdYZ""	en	[{'screen_name': 'unfpamali', 'name': 'unfpa mali', 'id': '4007918968'}, {'screen_name': 'unicefmali', 'name': 'unicef mali', 'id': '563279467'}]	[]	['https://pbs.twimg.com/media/E0dLFYjVkAEj7Be.jpg']	0	5	15	['mali', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389161573520793603	False	0	1	https://pbs.twimg.com/media/E0dLFYjVkAEj7Be.jpg							[]"
20, Central Africa Standard Time	,2021-05-03,"		To #EndFGM, communities need to collectively transform norms standing behind practice.  In 2âƒ£0âƒ£2âƒ£0âƒ£, through @GPtoEndFGM efforts, community &amp; traditional leaders in 17,615 communities denounced FGM as harmful practiceðŸ™�  We will continue to strengthen this effort!  ðŸ“¸ @UnfpaEgypt  https://t.co/8V0TQ1p4Z3	en	[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}, {'screen_name': 'unfpaegypt', 'name': 'unfpa-egypt', 'id': '630104559'}]	[]	['https://pbs.twimg.com/media/E0c3hFUWUAQL8wT.jpg']	1	5	11	['endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1389141405713506304	False	0	1	https://pbs.twimg.com/media/E0c3hFUWUAQL8wT.jpg							[]"
